Car_Number,Arrive,Depart,Wait,Direction
1,0,0,0,N
2,0,4,4,S
3,0,8,8,E
4,0,12,12,W
5,98,100,2,W
6,122,124,2,E
7,183,184,1,N
8,196,196,0,W
9,201,204,3,S
10,244,244,0,E
11,294,296,2,W
12,366,368,2,N
13,366,372,6,E
14,392,392,0,W
15,402,404,2,S
16,488,488,0,E
17,490,492,2,W
18,549,552,3,N
19,588,588,0,W
20,603,604,1,S
21,610,612,2,E
22,686,688,2,W
23,732,732,0,N
24,732,736,4,E
25,784,784,0,W
26,804,804,0,S
27,854,856,2,E
28,882,884,2,W
29,915,916,1,N
30,976,976,0,E
31,980,980,0,W
32,1005,1008,3,S
33,1078,1080,2,W
34,1098,1100,2,N
35,1098,1104,6,E
36,1176,1176,0,W
37,1206,1208,2,S
38,1220,1220,0,E
39,1274,1276,2,W
40,1281,1284,3,N
41,1342,1344,2,E
42,1372,1372,0,W
43,1407,1408,1,S
44,1464,1464,0,N
45,1464,1468,4,E
46,1470,1472,2,W
47,1568,1568,0,W
48,1586,1588,2,E
49,1608,1608,0,S
50,1647,1648,1,N
51,1666,1668,2,W
52,1708,1708,0,E
53,1764,1764,0,W
54,1809,1812,3,S
55,1830,1832,2,N
56,1830,1836,6,E
57,1862,1864,2,W
58,1952,1952,0,E
59,1960,1960,0,W
60,2010,2012,2,S
61,2013,2016,3,N
62,2058,2060,2,W
63,2074,2076,2,E
64,2156,2156,0,W
65,2196,2196,0,N
66,2196,2200,4,E
67,2211,2212,1,S
68,2254,2256,2,W
69,2318,2320,2,E
70,2352,2352,0,W
71,2379,2380,1,N
72,2412,2412,0,S
73,2440,2440,0,E
74,2450,2452,2,W
75,2548,2548,0,W
76,2562,2564,2,N
77,2562,2568,6,E
78,2613,2616,3,S
79,2646,2648,2,W
80,2684,2684,0,E
81,2744,2744,0,W
82,2745,2748,3,N
83,2806,2808,2,E
84,2814,2816,2,S
85,2842,2844,2,W
86,2928,2928,0,N
87,2928,2932,4,E
88,2940,2940,0,W
89,3015,3016,1,S
90,3038,3040,2,W
91,3050,3052,2,E
92,3111,3112,1,N
93,3136,3136,0,W
94,3172,3172,0,E
95,3216,3216,0,S
96,3234,3236,2,W
97,3294,3296,2,N
98,3294,3300,6,E
99,3332,3332,0,W
100,3416,3416,0,E
101,3417,3420,3,S
102,3430,3432,2,W
103,3477,3480,3,N
104,3528,3528,0,W
105,3538,3540,2,E
106,3618,3620,2,S
107,3626,3628,2,W
108,3660,3660,0,N
109,3660,3664,4,E
110,3779,3780,1,W
111,3850,3852,2,E
112,3930,3932,2,S
113,3932,3936,4,W
114,3945,3948,3,N
115,4040,4040,0,E
116,4085,4088,3,W
117,4230,4232,2,N
118,4230,4236,6,E
119,4238,4240,2,W
120,4242,4244,2,S
121,4391,4392,1,W
122,4420,4420,0,E
123,4515,4516,1,N
124,4544,4544,0,W
125,4554,4556,2,S
126,4610,4612,2,E
127,4697,4700,3,W
128,4800,4800,0,N
129,4800,4804,4,E
130,4850,4852,2,W
131,4866,4868,2,S
132,4990,4992,2,E
133,5003,5004,1,W
134,5085,5088,3,N
135,5156,5156,0,W
136,5178,5180,2,S
137,5180,5184,4,E
138,5309,5312,3,W
139,5370,5372,2,N
140,5370,5376,6,E
141,5462,5464,2,W
142,5490,5492,2,S
